,movie,year,timeMin,imdb,votes,us_grossMillions
0,Top Gun: Maverick,2022,130,8.7,96477,
1,Everything Everywhere All at Once,2022,139,8.4,94437,
2,The Batman,2022,176,7.9,497528,
3,Goodfellas,1990,145,8.7,1120516,46.84
4,RRR,2022,187,8.1,72698,
5,Spider-Man: No Way Home,2021,148,8.3,646446,
6,The Godfather,1972,175,9.2,1789489,134.97
7,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.0,1092754,305.41
8,Dune,2021,155,8.1,575049,
9,Jurassic Park,1993,127,8.2,949220,402.45
10,Blade Runner 2049,2017,164,8.0,543106,92.05
11,Once Upon a Time... In Hollywood,2019,161,7.6,691133,142.5
12,The Gentlemen,2019,113,7.8,319100,
13,Avatar,2009,162,7.8,1203627,760.51
14,Avengers: Endgame,2019,181,8.4,1059064,858.37
15,The Shawshank Redemption,1994,142,9.3,2594204,28.34
16,K.G.F: Chapter 2,2022,168,8.7,103182,
17,American Psycho,2000,102,7.6,573572,15.07
18,The Goonies,1985,114,7.7,266006,61.5
19,Star Wars,1977,121,8.6,1326439,322.74
20,Mission: Impossible - Fallout,2018,147,7.7,322640,220.16
21,The Dark Knight,2008,152,9.0,2565144,534.86
22,The Wolf of Wall Street,2013,180,8.2,1346035,116.9
23,CODA,2021,111,8.0,111306,
24,Star Wars: Episode III - Revenge of the Sith,2005,140,7.6,767477,380.26
25,The Worst Person in the World,2021,128,7.9,45256,
26,Thor: Ragnarok,2017,130,7.9,703024,315.06
27,Titanic,1997,194,7.9,1137161,659.33
28,Zack Snyder's Justice League,2021,242,8.0,379474,
29,Interstellar,2014,169,8.6,1736767,188.02
30,Harry Potter and the Sorcerer's Stone,2001,152,7.6,754410,317.58
31,Zombieland,2009,88,7.6,563177,75.59
32,Tombstone,1993,130,7.8,144937,56.51
33,Ghostbusters,1984,105,7.8,405573,238.63
34,Pulp Fiction,1994,154,8.9,1989050,107.93
35,Avengers: Infinity War,2018,149,8.4,1020005,678.82
36,Inception,2010,148,8.8,2276312,292.58
37,The Departed,2006,151,8.5,1289442,132.38
38,Forrest Gump,1994,142,8.8,2002942,330.25
39,Knives Out,2019,130,7.9,592522,165.36
40,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,1803335,315.54
41,The Fifth Element,1997,126,7.6,465261,63.54
42,Fight Club,1999,139,8.8,2042596,37.03
43,Parasite,2019,132,8.5,747931,53.37
44,Whiplash,2014,106,8.5,812189,13.09
45,Ex Machina,2014,108,7.7,529413,25.44
46,Rogue One: A Star Wars Story,2016,133,7.8,608570,532.18
47,Mad Max: Fury Road,2015,120,8.1,972130,154.06
48,Joker,2019,122,8.4,1198410,335.45
49,Requiem for a Dream,2000,102,8.3,822879,3.64
